task_id,timestamp,axis,feature_name,value
task_20260409_162705,2026-04-09 16:27:16.849771,X,FreqCentroid,616.6
task_20260409_162705,2026-04-09 16:27:16.849771,Y,FreqCentroid,580.7
task_20260409_162705,2026-04-09 16:27:16.849771,Z,FreqCentroid,848.0
task_20260409_162705,2026-04-09 16:27:16.849771,X,Kurtosis,4.2
task_20260409_162705,2026-04-09 16:27:16.849771,Y,Kurtosis,2.1
task_20260409_162705,2026-04-09 16:27:16.849771,Z,Kurtosis,3.1
task_20260409_162705,2026-04-09 16:27:16.849771,X,PeakToPeak,0.5
task_20260409_162705,2026-04-09 16:27:16.849771,Y,PeakToPeak,0.4
task_20260409_162705,2026-04-09 16:27:16.849771,Z,PeakToPeak,0.2
task_20260409_162705,2026-04-09 16:27:16.849771,X,RMS,0.8
task_20260409_162705,2026-04-09 16:27:16.849771,Y,RMS,1.0
task_20260409_162705,2026-04-09 16:27:16.849771,Z,RMS,3.7
task_20260409_163022,2026-04-09 16:30:34.236017,X,FreqCentroid,708.0
task_20260409_163022,2026-04-09 16:30:34.236017,Y,FreqCentroid,537.6
task_20260409_163022,2026-04-09 16:30:34.236017,Z,FreqCentroid,772.5
task_20260409_163022,2026-04-09 16:30:34.236017,X,Kurtosis,10.1
task_20260409_163022,2026-04-09 16:30:34.236017,Y,Kurtosis,2.1
task_20260409_163022,2026-04-09 16:30:34.236017,Z,Kurtosis,2.3
task_20260409_163022,2026-04-09 16:30:34.236017,X,PeakToPeak,1.2
task_20260409_163022,2026-04-09 16:30:34.236017,Y,PeakToPeak,1.5
task_20260409_163022,2026-04-09 16:30:34.236017,Z,PeakToPeak,1.0
task_20260409_163022,2026-04-09 16:30:34.236017,X,RMS,0.6
task_20260409_163022,2026-04-09 16:30:34.236017,Y,RMS,2.7
task_20260409_163022,2026-04-09 16:30:34.236017,Z,RMS,3.3
task_20260409_163144,2026-04-09 16:31:56.379706,X,FreqCentroid,632.9
task_20260409_163144,2026-04-09 16:31:56.379706,Y,FreqCentroid,723.4
task_20260409_163144,2026-04-09 16:31:56.379706,Z,FreqCentroid,693.8
task_20260409_163144,2026-04-09 16:31:56.379706,X,Kurtosis,5.9
task_20260409_163144,2026-04-09 16:31:56.379706,Y,Kurtosis,2.5
task_20260409_163144,2026-04-09 16:31:56.379706,Z,Kurtosis,1.8
task_20260409_163144,2026-04-09 16:31:56.379706,X,PeakToPeak,1.7
task_20260409_163144,2026-04-09 16:31:56.379706,Y,PeakToPeak,1.0
task_20260409_163144,2026-04-09 16:31:56.379706,Z,PeakToPeak,1.5
task_20260409_163144,2026-04-09 16:31:56.379706,X,RMS,1.5
task_20260409_163144,2026-04-09 16:31:56.379706,Y,RMS,4.1
task_20260409_163144,2026-04-09 16:31:56.379706,Z,RMS,0.7
