time_sec,X_RMS_g,X_Kurtosis,X_PeakToPeak_g,X_FreqCentroid_Hz,Y_RMS_g,Y_Kurtosis,Y_PeakToPeak_g,Y_FreqCentroid_Hz,Z_RMS_g,Z_Kurtosis,Z_PeakToPeak_g,Z_FreqCentroid_Hz
0.0,0.8,3.1,0.2,668.5,0.8,3.6,0.2,643.8,3.7,2.7,0.2,888.5
0.1,0.8,3.2,0.2,661.0,0.8,3.6,0.2,651.7,3.7,2.6,0.2,877.6
0.2,0.8,3.2,0.2,664.7,0.8,3.7,0.2,633.7,3.7,2.7,0.2,898.0
0.3,0.8,3.1,0.2,672.0,0.8,3.5,0.2,612.9,3.7,2.8,0.2,903.7
0.4,0.8,2.9,0.2,702.0,0.8,3.1,0.2,613.5,3.7,2.8,0.2,926.3
0.5,0.8,2.9,0.2,688.2,0.8,3.0,0.2,613.3,3.7,2.9,0.2,930.4
0.6,0.8,2.9,0.2,696.3,0.8,2.8,0.2,618.7,3.7,2.8,0.2,938.6
0.7,0.8,2.9,0.2,698.6,0.8,2.7,0.2,612.9,3.7,2.7,0.2,929.2
0.8,0.8,3.0,0.2,716.3,0.8,2.7,0.2,637.0,3.7,2.6,0.2,933.0
0.9,0.8,2.9,0.2,705.6,0.8,2.5,0.2,624.2,3.7,2.7,0.2,941.7
1.0,0.8,2.9,0.2,694.0,0.9,2.5,0.2,643.7,3.7,2.7,0.2,941.2
1.1,0.8,2.9,0.2,691.1,0.9,2.5,0.2,669.2,3.7,2.7,0.2,932.3
1.2,0.8,3.0,0.2,696.1,0.9,2.8,0.2,688.6,3.7,2.7,0.2,953.6
1.3,0.8,3.0,0.2,712.3,0.9,2.7,0.2,736.8,3.7,2.6,0.2,939.3
1.4,0.8,3.0,0.2,719.3,0.9,2.9,0.2,744.5,3.7,2.5,0.2,951.6
1.5,0.8,3.1,0.2,695.5,0.9,3.6,0.2,754.6,3.7,2.5,0.2,927.7
1.6,0.8,3.0,0.2,696.7,0.9,4.1,0.2,738.0,3.7,2.5,0.2,954.4
1.7,0.8,2.9,0.2,718.5,0.9,4.3,0.2,732.6,3.7,2.4,0.2,937.9
1.8,0.8,2.9,0.2,702.7,0.9,4.5,0.2,716.5,3.7,2.3,0.2,929.4
1.9,0.8,2.8,0.2,699.5,0.9,2.9,0.2,743.0,3.7,2.3,0.2,925.3
2.0,0.8,2.8,0.2,690.4,0.9,3.0,0.2,736.3,3.7,2.5,0.2,931.8
2.1,0.8,2.8,0.2,708.0,0.9,2.8,0.2,737.6,3.7,2.6,0.2,933.2
2.2,0.8,2.8,0.2,702.3,0.9,2.9,0.2,714.1,3.7,2.6,0.2,951.7
2.3,0.8,2.9,0.2,703.8,0.9,2.8,0.2,681.2,3.7,2.7,0.2,955.1
2.4,0.8,2.9,0.2,745.0,0.9,2.8,0.2,709.9,3.7,2.6,0.2,927.6
2.5,0.8,2.8,0.2,703.8,0.9,3.0,0.2,708.7,3.7,2.5,0.2,939.4
2.6,0.8,2.8,0.2,705.0,0.9,3.2,0.2,703.9,3.7,2.5,0.2,944.5
2.7,0.8,2.8,0.2,697.4,0.9,3.8,0.2,715.0,3.7,2.6,0.2,934.9
2.8,0.8,2.8,0.2,696.9,0.9,3.4,0.2,685.0,3.7,2.7,0.2,923.2
2.9,0.8,2.8,0.2,681.6,0.9,3.6,0.2,704.4,3.7,2.7,0.2,911.2
3.0,0.8,2.9,0.2,682.2,0.9,3.3,0.2,688.6,3.7,2.6,0.2,882.0
3.1,0.8,3.0,0.2,671.6,0.9,3.0,0.2,650.5,3.7,2.6,0.2,891.0
3.2,0.8,3.0,0.2,657.3,1.0,2.5,0.2,658.9,3.7,2.6,0.2,853.4
3.3,0.8,2.9,0.2,652.4,1.0,2.3,0.2,644.1,3.7,2.5,0.2,846.6
3.4,0.8,3.0,0.2,674.4,1.0,2.3,0.2,632.3,3.7,2.6,0.2,816.2
3.5,0.8,3.0,0.2,625.5,1.0,2.4,0.2,628.3,3.7,2.6,0.2,782.8
3.6,0.8,3.1,0.2,642.8,1.0,2.7,0.2,653.6,3.7,2.7,0.2,796.6
3.7,0.8,3.1,0.2,634.8,1.0,3.0,0.2,612.0,3.7,2.6,0.2,778.0
3.8,0.8,3.0,0.2,637.3,1.0,2.9,0.2,640.6,3.7,2.6,0.2,817.7
3.9,0.8,3.1,0.2,639.8,1.0,3.5,0.2,662.8,3.7,2.6,0.2,773.0
4.0,0.8,3.1,0.2,647.3,1.0,3.2,0.2,646.1,3.7,2.6,0.2,774.1
4.1,0.8,3.1,0.2,631.7,1.0,3.1,0.2,661.6,3.7,2.6,0.2,769.9
4.2,0.8,3.1,0.2,633.1,1.0,3.1,0.2,664.1,3.7,2.6,0.2,763.4
4.3,0.8,3.1,0.2,622.1,1.0,3.2,0.2,662.4,3.7,2.6,0.2,751.6
4.4,0.8,3.1,0.2,625.6,1.0,3.3,0.2,642.0,3.7,2.7,0.2,726.7
4.5,0.8,3.1,0.2,625.1,1.0,3.4,0.2,668.2,3.7,2.8,0.2,754.2
4.6,0.8,3.1,0.2,627.4,1.0,3.3,0.2,662.7,3.7,3.0,0.2,763.4
4.7,0.8,3.0,0.2,627.2,1.0,3.1,0.2,642.4,3.7,3.2,0.2,750.3
4.8,0.8,3.1,0.2,636.9,1.0,3.2,0.2,661.7,3.7,3.3,0.2,754.8
4.9,0.8,3.0,0.2,627.4,1.0,3.2,0.2,664.9,3.7,3.6,0.2,760.9
5.0,0.8,3.0,0.2,615.6,1.0,3.3,0.2,639.3,3.7,3.8,0.2,779.6
5.1,0.8,3.0,0.2,609.3,1.0,3.3,0.2,621.2,3.7,3.5,0.2,781.4
5.2,0.8,3.0,0.2,601.3,1.0,3.2,0.2,627.0,3.7,3.6,0.2,773.3
5.3,0.8,3.0,0.2,614.0,1.0,3.2,0.2,625.1,3.7,3.5,0.2,762.5
5.4,0.8,2.9,0.2,613.3,1.0,3.4,0.2,672.6,3.7,3.0,0.2,796.1
5.5,0.8,2.9,0.2,614.8,1.0,2.8,0.2,672.3,3.7,3.1,0.2,794.1
5.6,0.8,2.9,0.2,622.9,1.0,2.8,0.2,684.4,3.7,3.0,0.2,807.4
5.7,0.8,2.9,0.2,634.4,1.0,2.8,0.1,676.2,3.7,3.0,0.2,817.3
5.8,0.8,2.9,0.2,624.6,1.0,2.8,0.1,689.5,3.7,2.8,0.2,829.6
5.9,0.8,2.9,0.2,639.9,1.0,2.7,0.1,683.6,3.7,2.7,0.2,810.2
6.0,0.8,2.9,0.2,629.3,1.0,2.8,0.2,705.1,3.7,2.7,0.2,814.8
6.1,0.8,2.9,0.2,653.2,1.0,2.8,0.2,686.6,3.7,2.8,0.2,824.0
6.2,0.8,2.8,0.2,642.6,1.0,2.7,0.2,706.8,3.7,2.7,0.2,831.4
6.3,0.8,2.8,0.2,642.9,1.0,2.7,0.2,700.4,3.7,2.7,0.2,869.0
6.4,0.8,3.0,0.2,653.6,1.0,2.6,0.2,707.4,3.7,2.8,0.2,864.1
6.5,0.8,3.1,0.2,675.3,1.0,2.5,0.2,708.3,3.7,2.9,0.2,875.8
6.6,0.8,3.0,0.2,656.1,1.0,2.5,0.2,721.2,3.7,2.9,0.2,880.7
6.7,0.8,3.0,0.2,627.8,1.0,2.6,0.2,716.8,3.7,3.0,0.2,881.0
6.8,0.8,3.1,0.2,646.4,1.0,2.5,0.2,720.6,3.7,3.2,0.2,886.2
6.9,0.8,3.1,0.2,634.8,1.0,2.5,0.2,703.8,3.7,3.3,0.2,898.4
7.0,0.8,3.1,0.2,629.9,1.0,2.5,0.2,696.3,3.7,3.3,0.2,880.5
7.1,0.8,3.1,0.2,638.8,1.0,2.5,0.2,745.2,3.7,3.4,0.2,875.2
7.2,0.8,3.1,0.2,631.7,1.0,2.5,0.2,693.6,3.7,3.4,0.2,889.6
7.3,0.8,3.2,0.2,630.6,1.0,2.6,0.2,680.5,3.7,3.8,0.2,874.7
7.4,0.8,3.2,0.2,630.8,1.0,2.8,0.2,726.1,3.7,3.7,0.1,880.1
7.5,0.8,2.9,0.2,700.2,1.0,2.7,0.2,678.9,3.7,3.8,0.1,868.0
7.6,0.8,2.9,0.2,670.1,1.0,2.7,0.2,695.5,3.7,3.9,0.2,854.8
7.7,0.8,2.9,0.2,644.5,1.0,2.8,0.2,687.6,3.7,3.6,0.2,837.2
7.8,0.8,2.9,0.2,664.7,1.1,2.7,0.2,729.7,3.7,3.3,0.2,840.8
7.9,0.8,3.1,0.3,666.3,1.1,2.8,0.2,695.0,3.7,3.2,0.2,835.4
8.0,0.8,3.0,0.3,641.7,1.1,2.8,0.2,689.3,3.7,3.0,0.2,845.9
8.1,0.8,3.0,0.3,615.7,1.1,2.9,0.2,674.1,3.7,3.1,0.2,836.7
8.2,0.8,3.1,0.3,605.5,1.1,3.3,0.2,685.2,3.7,3.0,0.2,823.9
